BDBR,City,#625318, 
BDVL,Gold Coast,#625318,Exp
BNBR,City,#7E170E, 
BNFG,Ferny Grove,#7E170E, 
BNSH,Shorncliffe,#00467F, 
BNVL,Varsity Lakes,#625318, 
BRBD,Airport,#625318, 
BRBN,Beenleigh,#7E170E, 
BRBR,City,#595959, 
BRCA,Caboolture,#2E6B1B,Exp
BRCL,Cleveland,#0000C4, 
BRDB,Doomben,#722E69, 
BREX,Exhibition,#595959, 
BRFG,Ferny Grove,#7E170E, 
BRGY,Gympie North,#2E6B1B,Exp
BRIP,Ipswich,#2E6B1B, 
BRNA,Nambour,#2E6B1B,Exp
BRRP,Redcliffe,#3376BD,Exp
BRRW,Rosewood,#2E6B1B, 
BRSH,Shorncliffe,#0000C4, 
BRSP,Springfield Central,#3376BD, 
BRVL,Gold Coast,#625318,Exp
CABR,City,#2E6B1B,Exp
CAIP,Ipswich,#2E6B1B,Exp
CARW,Rosewood,#2E6B1B,Exp
CASP,Springfield Central,#3376BD,Exp
CLBR,City,#0000C4, 
CLDB,Doomben,#722E69, 
CLSH,Shorncliffe,#0000C4, 
DBBN,Beenleigh,#7E170E, 
DBBR,City,#722E69, 
DBCL,Cleveland,#0000C4, 
EXBR,City,#595959, 
EXEX,Exhibition,#595959, 
FGBN,Beenleigh,#7E170E, 
FGBR,City,#7E170E, 
GYBR,City,#2E6B1B,Exp
IPBR,City,#2E6B1B, 
IPCA,Caboolture,#2E6B1B,Exp
IPNA,Nambour,#2E6B1B,Exp
IPRP,Redcliffe,#3376BD, 
IPRW,Rosewood,#2E6B1B, 
NABR,City,#2E6B1B,Exp
NAIP,Ipswich,#2E6B1B,Exp
NASH,Shorncliffe,#00447C,Exp
NASP,Springfield Central,#3376BD,Exp
RPBR,City,#3376BD,Exp
RPIP,Ipswich,#2E6B1B,Exp
RPSH,Shorncliffe,#00447C,Exp
RPSP,Springfield Central,#3376BD,Exp
RWBR,City,#2E6B1B, 
RWCA,Caboolture,#2E6B1B,Exp
RWIP,Ipswich,#2E6B1B, 
RWNA,Nambour,#2E6B1B,Exp
RWRP,Redcliffe,#3376BD,Exp
SHBN,City,#00467F, 
SHBR,City,#0000C4, 
SHCA,Caboolture,#00447C,Exp
SHCL,Cleveland,#0000C4, 
SHRP,Redcliffe,#00447C,Exp
SPBR,City,#3376BD, 
SPCA,Caboolture,#2E6B1B,Exp
SPNA,Nambour,#2E6B1B,Exp
SPRP,Redcliffe,#3376BD,Exp
VLBD,Airport,#625318,Exp
VLBN,Banoon,#0000C4, 
VLBR,City,#625318,Exp
VLDB,Doomben,#722E69,Exp
VLVL,Varsity Lakes,#00447C, 
